split,factor,horizon,train_start,train_end,test_start,test_end,embargo_hours,n_timestamps,n_observations,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status,test
test_oos,smart_money_flow_intensity,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,smart_money_crowding,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,smart_money_crowding,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,signal_count,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,signal_count,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,signal_breadth,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,signal_breadth,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,holder_growth,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,holder_growth,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,holder_acceleration,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
