split,factor,horizon,train_start,train_end,test_start,test_end,embargo_hours,n_timestamps,n_observations,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status,scope
second_half,holder_concentration,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,holder_liquidity_interaction,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,holder_liquidity_interaction,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,rank_change,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,rank_change,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,rank_momentum,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,rank_momentum,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,attention_shock,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,attention_shock,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,token_age_days,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,token_age_days,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,audit_score,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,audit_score,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,chain_volume_breadth,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,2,13,0.016518424396442185,2,0.1751982372898248,0.1751982372898248,0.16048056718473303,1.5439110642843044,1.0,1.5439110642843046,0.36590400449247773,2.183419966208744,0.029004896914992577,1,0.029004896914992577,computed,subperiod
second_half,chain_volume_breadth,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,131,5696,0.6130664083521687,131,0.012611189409176014,0.01490250242661105,0.28088812164993576,0.5138759851654845,0.5343511450381679,0.5138759851654846,0.6082110609106554,0.24486704035413467,0.8065593828688447,24,0.8065593828688447,computed,subperiod
first_half,market_vol_regime,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,4,24,0.030495552731893267,4,-0.03608439182435161,0.07216878364870322,0.3796013991310124,-0.1901172751573434,0.5,-0.1901172751573434,0.861354309246942,-0.32879797461071464,0.7423083940717163,3,0.7423083940717163,computed,subperiod
second_half,market_vol_regime,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,131,5694,0.6128511462705845,131,-0.06939744613618845,-0.03682317738419912,0.2391705130578957,-3.3210200773085523,0.3435114503816794,-3.3210200773085523,0.0011644979515619584,-2.298086536345461,0.02155686438614071,24,0.02155686438614071,computed,subperiod
